id,year,month,day,hour,minute,second,sensor1
0,2016,1,23,0,28,50,203.0
1,2016,1,23,0,28,54,193.0
2,2016,1,23,0,29,8,late
3,2016,1,23,0,32,32,early
4,2016,1,23,0,32,41,196.0
5,2016,1,23,0,32,51,386.0
