id,year,month,day,hour,minute,second,sensor1
0,2016,1,23,17,33,10,691.0
1,2016,1,23,17,33,17,2573.0
2,2016,1,23,17,33,46,1409.0
3,2016,1,23,17,33,52,1845.0
4,2016,1,23,17,34,14,3040.0
