id,year,month,day,hour,minute,second,sensor1
0,2016,1,22,23,58,7,173.0
1,2016,1,22,23,58,10,early
2,2016,1,22,23,58,19,184.0
3,2016,1,22,23,58,25,270.0
4,2016,1,22,23,58,32,166.0
